date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:46:37	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%225e89b834-7f%22	https://www.bootstrapdash.com/robots.txt		(from )
20:46:37	2271/2271	---M-Z	200	added ('OK')	text/html	etag:%228df-5a288f3145040-gzip%22	https://www.bootstrapdash.com/demo/login-template-free-1/	D:/Ian/Projects/ninung/login-template/login/www.bootstrapdash.com/demo/login-template-free-1/index.html	(from )
20:46:37	218842/218842	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Jan%202020%2004:28:52%20GMT	https://cdn.materialdesignicons.com/4.8.95/css/materialdesignicons.min.css	D:/Ian/Projects/ninung/login-template/login/cdn.materialdesignicons.com/4.8.95/css/materialdesignicons.min.css	(from https://www.bootstrapdash.com/demo/login-template-free-1/)
20:46:38	159515/159515	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:09%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	D:/Ian/Projects/ninung/login-template/login/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://www.bootstrapdash.com/demo/login-template-free-1/)
20:46:38	2520/2520	---MCZ	200	added ('OK')	text/css	etag:W/%225e89b879-9d8%22	https://www.bootstrapdash.com/demo/login-template-free-1/assets/css/login.css	D:/Ian/Projects/ninung/login-template/login/www.bootstrapdash.com/demo/login-template-free-1/assets/css/login.css	(from https://www.bootstrapdash.com/demo/login-template-free-1/)
20:46:38	4497/4497	---M--	200	added ('OK')	image/svg+xml	etag:%225e89b055-1191%22	https://www.bootstrapdash.com/demo/login-template-free-1/assets/images/logo.svg	D:/Ian/Projects/ninung/login-template/login/www.bootstrapdash.com/demo/login-template-free-1/assets/images/logo.svg	(from https://www.bootstrapdash.com/demo/login-template-free-1/)
20:46:40	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%225cca0c33-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	D:/Ian/Projects/ninung/login-template/login/code.jquery.com/jquery-3.4.1.min.js	(from https://www.bootstrapdash.com/demo/login-template-free-1/)
20:46:40	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:W/%225309-YvI45zNIx3656GVCan0bfeI8uy0%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	D:/Ian/Projects/ninung/login-template/login/cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	(from https://www.bootstrapdash.com/demo/login-template-free-1/)
20:46:41	60010/60010	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:09%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	D:/Ian/Projects/ninung/login-template/login/stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	(from https://www.bootstrapdash.com/demo/login-template-free-1/)
20:46:43	803713/803713	---M--	200	added ('OK')	image/jpeg	etag:%225e89b055-c4381%22	https://www.bootstrapdash.com/demo/login-template-free-1/assets/images/login.jpg	D:/Ian/Projects/ninung/login-template/login/www.bootstrapdash.com/demo/login-template-free-1/assets/images/login.jpg	(from https://www.bootstrapdash.com/demo/login-template-free-1/)
