date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:01	102835/102835	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202020%2013:26:14%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html	(from )
19:38:02	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Apr%202021%2011:38:03%20GMT	https://demos.creative-tim.com/robots.txt		(from )
19:38:03	4976/4976	---M--	200	added ('OK')	image/png	etag:%225e3ac276-1370%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/brand/favicon.png	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/brand/favicon.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:03	9015/9015	---M-Z	200	added ('OK')	text/css	etag:W/%225e3ac276-2337%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/nucleo/css/nucleo.css	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/nucleo/css/nucleo.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:03	57180/57180	---M-Z	200	added ('OK')	text/css	etag:W/%225e3ac276-df5c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:04	389243/389243	---M-Z	200	added ('OK')	text/css	etag:W/%225e3ac276-5f07b%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min5438.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:04	122179/122179	---M--	200	added ('OK')	image/jpeg	etag:%2204e7beac14a725b525f43092c9c50bb7%22	https://s3.amazonaws.com/creativetim_bucket/products/137/original/opt_adp_thumbnail.jpg	D:/Ian/Projects/ninung/template/template/s3.amazonaws.com/creativetim_bucket/products/137/original/opt_adp_thumbnail.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:04	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2010%20Apr%202021%2011:38:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Ian/Projects/ninung/template/template/www.googletagmanager.com/gtm.65445.delayed	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:04	7883/7883	---M--	200	added ('OK')	image/png	etag:%225e3ac276-1ecb%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/brand/blue.png	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/assets/img/brand/blue.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
19:38:04	83437/83437	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202020%2013:26:14%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/alternative.html	D:/Ian/Projects/ninung/template/template/demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/alternative.html	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/dashboard.html)
